"stop_id","stop_name","stop_lat","stop_lon","source_table","bus_lines"
100014,"BEDFORD PK BL/GRAND CONCOURSE","40.872562","-73.888153","bronx","['BX26']"
100017,"PAUL AV/W 205 ST","40.876808","-73.889656","bronx","['BX28', 'BX10', 'BX38']"
100018,"PAUL AV/W MOSHOLU PY S","40.880341","-73.886063","bronx","['BX28', 'BX38']"
100019,"GRAND CONCOURSE/E 138 ST","40.813496","-73.929489","bronx","['BX1']"
100020,"GRAND CONCOURSE/E 144 ST","40.816803","-73.927956","bronx","['BX1']"
100021,"GRAND CONCOURSE/E 149 ST","40.818851","-73.92701","bronx","['BX1', 'BX2']"
100022,"GRAND CONCOURSE/E 153 ST","40.821041","-73.925613","bronx","['BX1', 'BX2']"
100025,"GRAND CONCOURSE/E 161 ST","40.826431","-73.922661","bronx","['BX1', 'BX2', 'BXM4']"
100026,"GRAND CONCOURSE/E 163 ST","40.828838","-73.921326","bronx","['BX1', 'BX2']"
100027,"GRAND CONCOURSE/E 165 ST","40.831318","-73.919937","bronx","['BX1', 'BX2', 'BXM4']"
100028,"GRAND CONCOURSE/MC CLELLAN ST","40.833275","-73.918556","bronx","['BX1', 'BX2']"
100029,"GRAND CONCOURSE/E 167 ST","40.834763","-73.91713","bronx","['BX1', 'BX2']"
100030,"GRAND CONCOURSE/E 169 ST","40.836571","-73.915367","bronx","['BX1', 'BX2']"
100033,"GRAND CONCOURSE/MT EDEN AV","40.84351","-73.91156","bronx","['BX1', 'BX2']"
100035,"GRAND CONCOURSE/E 175 ST","40.846741","-73.908554","bronx","['BX1', 'BX2']"
100038,"GRAND CONCOURSE/E 179 ST","40.850929","-73.904495","bronx","['BX1', 'BX2']"
100039,"GRAND CONCOURSE/E BURNSIDE AV","40.852089","-73.903564","bronx","['BX1', 'BX2', 'BXM4']"
100040,"GRAND CONCOURSE/E 180 ST","40.853718","-73.902245","bronx","['BX1', 'BX2']"
100041,"GRAND CONCOURSE/E 182 ST","40.856255","-73.90036","bronx","['BX1', 'BX2']"
100044,"GRAND CONCOURSE/E 187 ST","40.860569","-73.897865","bronx","['BX1', 'BX2']"
100045,"GRAND CONCOURSE/E FORDHAM RD","40.863068","-73.896355","bronx","['BX1', 'BX2', 'BXM4']"
100047,"GRAND CONCOURSE/E KINGSBRIDGE RD","40.866344","-73.89386","bronx","['BX1', 'BX2']"
100048,"GRAND CONCOURSE/E 196 ST","40.86808","-73.89254","bronx","['BX1', 'BX2', 'BXM4']"
100049,"GRAND CONCOURSE/E 198 ST","40.870243","-73.890419","bronx","['BX1', 'BX2']"
100052,"GRAND CONCOURSE/E 206 ST","40.876297","-73.88549","bronx","['BX1', 'BX2']"
100053,"GRAND CONCOURSE/E MOSHOLU PY S","40.877907","-73.884727","bronx","['BX1', 'BX2', 'BX28', 'BX38']"
100054,"E MOSHOLU PY S/JEROME AV","40.879505","-73.885574","bronx","['BX1', 'BX2', 'BX28', 'BX38']"
100055,"W MOSHOLU PY S/PAUL AV","40.880379","-73.885826","bronx","['BX1', 'BX2']"
100056,"SEDGWICK AV/DICKINSON AV","40.882824","-73.889114","bronx","['BX1', 'BX2', 'BX10']"
100057,"SEDGWICK AV/HILLMAN AV","40.882504","-73.891365","bronx","['BX1', 'BX2', 'BX10']"
100058,"SEDGWICK AV/VAN CORTLANDT AV W","40.882828","-73.893364","bronx","['BX1', 'BXM3', 'BX2']"
100059,"SEDGWICK AV/STEVENSON PL","40.88269","-73.895187","bronx","['BX1', 'BX2']"
100060,"SEDGWICK AV/GILES PL","40.880924","-73.896698","bronx","['BX1', 'BXM3', 'BX2']"
100061,"SEDGWICK AV/FT INDEPENDENCE ST","40.878746","-73.898033","bronx","['BX1', 'BX2']"
100062,"HEATH AV/SUMMIT PL","40.877892","-73.90152","bronx","['BX1']"
100063,"ALBANY CR/BAILEY AV","40.876877","-73.903175","bronx","['BX1']"
100064,"W 231 ST/BAILEY AV","40.878231","-73.902771","bronx","['BX1', 'BX10']"
100065,"W 231 ST/BROADWAY","40.879284","-73.905373","bronx","['BX1', 'BX20', 'BX10', 'BX7']"
100066,"W 231 ST/KINGSBRIDGE AV","40.880047","-73.906868","bronx","['BX1', 'BX20', 'BX10', 'BX7']"
100068,"RIVERDALE AV/GREYSTONE AV","40.88435","-73.907387","bronx","['BX7']"
100069,"RIVERDALE AV/W 236 ST","40.886951","-73.90696","bronx","['BX7']"
100070,"RIVERDALE AV/W 238 ST","40.888111","-73.907425","bronx","['BX7']"
100071,"HENRY HUDSON PKY E/W 239 ST","40.889538","-73.908058","bronx","['BXM18', 'BX20', 'BX7', 'BXM1', 'BXM2', 'BX10']"
100076,"RIVERDALE AV/W 238 ST","40.887913","-73.907578","bronx","['BX7']"
100077,"RIVERDALE AV/W 236 ST","40.886238","-73.907112","bronx","['BXM1', 'BXM2', 'BX7']"
100080,"PAUL AV/BEDFORD PK BL","40.874676","-73.891602","bronx","['BX26', 'BX28', 'BX10', 'BX22', 'BX38']"
100082,"W 231 ST/RIVERDALE AV","40.881111","-73.909027","bronx","['BX20', 'BX10', 'BX7']"
100084,"W 231 ST/BROADWAY","40.878696","-73.904411","bronx","['BX1', 'BX2', 'BX10']"
100085,"W 231 ST/BAILEY AV","40.878029","-73.902634","bronx","['BX1', 'BX2', 'BX10']"
100086,"HEATH AV/ALBANY CRES","40.876835","-73.902351","bronx","['BX1', 'BX2']"
100087,"HEATH AV/SUMMIT PL","40.878323","-73.900955","bronx","['BX1', 'BX2']"
100088,"SEDGWICK AV/FT INDEPENDENCE ST","40.878632","-73.897751","bronx","['BX1', 'BXM3', 'BX2']"
100089,"SEDGWICK AV/GILES PL","40.8815","-73.896446","bronx","['BX1', 'BXM3', 'BX2']"
100090,"SEDGWICK AV/STEVENSON PL 1","40.882912","-73.894363","bronx","['BX1', 'BX2']"
100096,"GRAND CONCOURSE/VAN CORTLANDT AV E","40.876965","-73.885757","bronx","['BX1', 'BX2']"
100098,"GRAND CONCOURSE/BEDFORD PK BL","40.871902","-73.888451","bronx","['BX1', 'BX2', 'BXM4']"
100100,"GRAND CONCOURSE/E 196 ST","40.868073","-73.893158","bronx","['BX1', 'BX2', 'BXM4']"
100101,"GRAND CONCOURSE/E KINGSBRIDGE RD","40.865799","-73.89489","bronx","['BX1', 'BX2', 'BXM4']"
100102,"GRAND CONCOURSE/E 192 ST","40.863998","-73.896255","bronx","['BX1', 'BX2']"
100103,"GRAND CONCOURSE/E FORDHAM RD","40.862236","-73.897545","bronx","['BX1', 'BX2', 'BXM4']"
100107,"GRAND CONCOURSE/E 182 ST","40.85582","-73.90123","bronx","['BX1', 'BX2']"
100108,"GRAND CONCOURSE/E 181 ST","40.854279","-73.902428","bronx","['BX1', 'BX2']"
100109,"GRAND CONCOURSE/E BURNSIDE AV","40.852654","-73.903732","bronx","['BX1', 'BX2', 'BXM4']"
100110,"GRAND CONCOURSE/E 179 ST","40.85125","-73.904869","bronx","['BX1', 'BX2']"
100112,"GRAND CONCOURSE/MORRIS AV","40.846302","-73.90995","bronx","['BX1', 'BX2']"
100113,"GRAND CONCOURSE/E 174 ST","40.84486","-73.911552","bronx","['BX1', 'BX2']"
100114,"GRAND CONCOURSE/E MT EDEN AV","40.842907","-73.912308","bronx","['BX1', 'BX2']"
100115,"GRAND CONCOURSE/E 172 ST","40.840637","-73.913071","bronx","['BX1', 'BX2']"
100117,"GRAND CONCOURSE/E CLARKE PL","40.836746","-73.915848","bronx","['BX1', 'BX2']"
100118,"GRAND CONCOURSE/E 167 ST","40.834229","-73.918304","bronx","['BX1', 'BX2']"
100119,"GRAND CONCOURSE/MC CLELLAN ST","40.833256","-73.919212","bronx","['BX1', 'BX2']"
100126,"MELROSE AV/E 158 ST","40.822025","-73.915092","bronx","['BX41']"
100129,"MELROSE AV/E 152 ST","40.817928","-73.91703","bronx","['BX41']"
100131,"GRAND CONCOURSE/E 165 ST","40.831173","-73.920601","bronx","['BX1', 'BX2', 'BXM4']"
100132,"GRAND CONCOURSE/E 163 ST","40.828369","-73.922157","bronx","['BX1', 'BX2']"
100133,"GRAND CONCOURSE/E 161 ST","40.826286","-73.923134","bronx","['BX1', 'BX2']"
100134,"GRAND CONCOURSE/E 158 ST","40.825108","-73.923836","bronx","['BX1', 'BX2', 'BXM4']"
100135,"GRAND CONCOURSE/E 156 ST","40.82312","-73.924751","bronx","['BX1', 'BX2']"
100136,"GRAND CONCOURSE/E 153 ST","40.821209","-73.925987","bronx","['BX1', 'BX2']"
100138,"GRAND CONCOURSE/E 149 ST","40.818752","-73.927422","bronx","['BX1']"
100139,"GRAND CONCOURSE/E 144 ST","40.816181","-73.928513","bronx","['BX1']"
100140,"GRAND CONCOURSE/E 138 ST","40.813484","-73.930283","bronx","['BX1']"
100148,"UNIVERSITY AV/N OF WASHINGTON BDG","40.846039","-73.921471","bronx","['BX36', 'BX3']"
100149,"UNIVERSITY AV/W 174 ST","40.846943","-73.920189","bronx","['BX36', 'BX3']"
100151,"UNIVERSITY AV/W 176 ST","40.849297","-73.917015","bronx","['BX36', 'BX3', 'BX18']"
100152,"UNIVERSITY AV/W TREMONT AV","40.850243","-73.915443","bronx","['BX36', 'BX3']"
100153,"UNIVERSITY AV/MORTON PL","40.852184","-73.913574","bronx","['BX3']"
100154,"UNIVERSITY AV/W BURNSIDE AV #1","40.853577","-73.912247","bronx","['BX3']"
100155,"UNIVERSITY AV/W BURNSIDE AV","40.854664","-73.911194","bronx","['BX3', 'BX42', 'BX40']"
100156,"UNIVERSITY AV/W 181 ST","40.857433","-73.909622","bronx","['BX3']"
100157,"UNIVERSITY AV/W 183 ST","40.859821","-73.90744","bronx","['BX3']"
100158,"UNIVERSITY AV/W 183 ST","40.861176","-73.90625","bronx","['BX3']"
100159,"UNIVERSITY AV/W FORDHAM RD","40.862915","-73.904755","bronx","['BX3']"
100161,"UNIVERSITY AV/W 190 ST","40.86552","-73.903038","bronx","['BX3']"
100162,"UNIVERSITY AV/W 192 ST","40.867222","-73.901764","bronx","['BX3']"
100164,"W KINGSBRIDGE RD/SEDGWICK AV","40.869541","-73.903603","bronx","['BX9', 'BX3']"
100165,"SEDGWICK AV/W 195 ST","40.870705","-73.902504","bronx","['BX3']"
100166,"SEDGWICK AV/W 197 ST","40.872787","-73.901962","bronx","['BX3', 'BXM3']"
100167,"SEDGWICK AV/W 229 ST","40.873611","-73.90168","bronx","['BX3']"
100169,"FT INDEPENDENCE/GILES PL","40.878639","-73.898994","bronx","['BX3']"
100170,"FT INDEPENDENCE ST/BAILEY PL","40.880714","-73.899078","bronx","['BX3']"
100171,"W 238 ST/ORLOFF AV","40.883003","-73.897774","bronx","['BX3']"
100172,"W 238 ST/BAILEY AV","40.884296","-73.89827","bronx","['BX3']"
100173,"W 238 ST/BROADWAY","40.885086","-73.900436","bronx","['BX3']"
100176,"W 238 ST/BROADWAY","40.884968","-73.900475","bronx","['BX3']"
100177,"W 238 ST/BAILEY AV","40.884071","-73.898232","bronx","['BX3']"
100178,"W 238 ST/ORLOFF AV","40.882504","-73.89814","bronx","['BX3']"
100179,"FT INDEPENDENCE ST/BAILEY PL","40.881016","-73.8992","bronx","['BX3']"
100180,"FT INDEPENDENCE ST/HEATH AV","40.878971","-73.899689","bronx","['BX3']"
